City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
3,Rikitea,PF,76.37,broken clouds,-23.1203,-134.9692,People ThankYou
6,Kimbe,PG,80.78,overcast clouds,-5.5502,150.1429,Kimbe Bay Hotel
7,Hilo,US,92.28,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
8,Hithadhoo,MV,81.97,moderate rain,-0.6,73.0833,Scoop Guest House
9,Atuona,PF,78.6,clear sky,-9.8,-139.0333,Villa Enata
12,Santa Fe,AR,70.0,light rain,-31.6333,-60.7,Conquistador Hotel
14,Vila Velha,BR,75.15,scattered clouds,-20.3297,-40.2925,Hotel Vitória Palace
15,Maputo,MZ,67.23,broken clouds,-25.9653,32.5892,Pestana Rovuma
20,Sur,OM,87.93,clear sky,22.5667,59.5289,Sur Plaza Hotel
22,Belmonte,BR,75.24,light rain,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
26,Nueve De Julio,AR,65.34,overcast clouds,-35.4444,-60.8831,Grand Hotel Libertad - GHL
27,Mareeba,AU,72.45,scattered clouds,-17.0,145.4333,Trinity Plains Tourist Park
30,Avarua,CK,87.85,scattered clouds,-21.2078,-159.775,Paradise Inn
43,Jacareacanga,BR,77.67,scattered clouds,-6.2222,-57.7528,Casa do Ian😎
46,Omboue,GA,77.95,scattered clouds,-1.5746,9.2618,Hotel Olako
50,Ahipara,NZ,65.73,overcast clouds,-35.1667,173.1667,Ahipara Holiday Park
53,Butaritari,KI,81.82,few clouds,3.0707,172.7902,Isles Sunset Lodge
55,Puerto Ayora,EC,78.76,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
57,Coxim,BR,74.37,clear sky,-18.5067,-54.76,Hotel Avenida
61,Kapaa,US,80.58,broken clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
62,Arraial Do Cabo,BR,73.26,scattered clouds,-22.9661,-42.0278,Pousada Porto Praia
63,Bonfim,BR,76.24,overcast clouds,3.0833,-59.95,
64,Shangrao,CN,68.31,moderate rain,28.4532,117.9686,Boyue boutique Hotel
65,Port Blair,IN,77.04,thunderstorm with rain,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
66,Pauini,BR,76.39,scattered clouds,-7.7136,-66.9764,Casa do Kiwliks
67,Bengkulu,ID,77.0,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
70,Coahuayana,MX,86.38,few clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
71,Jamestown,US,67.51,clear sky,42.097,-79.2353,Hampton Inn & Suites Jamestown
73,Mackay,AU,72.68,overcast clouds,-21.15,149.2,International Lodge Motel
74,Dicabisagan,PH,78.78,scattered clouds,17.0818,122.4157,Nancy Montanes Bernardo
76,Sayyan,YE,67.23,clear sky,15.1718,44.3244,ملاطف ابوحورية
77,Saint-Philippe,RE,71.19,scattered clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
79,Avera,US,69.31,broken clouds,33.194,-82.5271,
92,Lorengau,PG,84.65,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
93,Georgetown,MY,82.33,light rain,5.4112,100.3354,Cititel Penang
102,Afua,BR,75.31,overcast clouds,-0.1567,-50.3867,Hotel Dias
107,Bilma,NE,92.19,overcast clouds,18.6853,12.9164,Expeditions Ténére voyages
108,Port-Gentil,GA,82.36,scattered clouds,-0.7193,8.7815,Fengshui Residence
110,Harrisonville,US,76.78,overcast clouds,38.6533,-94.3488,Americas Best Value Inn & Suites Harrisonville
111,Sinnamary,GF,78.46,few clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
112,Campbellsville,US,69.94,scattered clouds,37.3434,-85.3419,"Holiday Inn Express Campbellsville, an IHG Hotel"
114,Kanker,IN,78.01,scattered clouds,20.2719,81.4931,STARiHOTEL Kanker
117,Acapulco,MX,84.02,smoke,16.8634,-99.8901,HS Hotsson Smart Acapulco
119,Kollam,IN,82.22,overcast clouds,8.8833,76.6,The Raviz Ashtamudi
122,Sedona,US,81.99,clear sky,34.8697,-111.761,Amara Resort and Spa
123,Keningau,MY,72.16,overcast clouds,5.3378,116.1602,Sabindo Hotel
124,Aksu,CN,70.34,clear sky,41.1231,80.2644,Pudong Holiday Hotel
125,Vaini,TO,78.96,few clouds,-21.2,-175.2,Keleti Beach Resort
128,Luganville,VU,79.65,broken clouds,-15.5333,167.1667,The Espiritu Hotel
129,Saint-Pierre,RE,71.28,clear sky,-21.3393,55.4781,Alize Plage
132,Bourail,NC,74.73,overcast clouds,-21.5667,165.4833,Motel Allamanda
133,Kudahuvadhoo,MV,84.04,very heavy rain,2.6708,72.8944,Niyama Private Islands Maldives
135,Saint-Joseph,RE,70.18,few clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
137,Kavieng,PG,84.81,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
138,Hargeysa,SO,72.75,broken clouds,9.56,44.065,City Center Hotel
140,Limbe,CM,80.04,light rain,4.0242,9.2149,The LK Hotel at Bonadikombo
141,Kandi,BJ,82.38,overcast clouds,11.1342,2.9386,Hébergement de la Poste
142,Kahului,US,86.02,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
143,Mahebourg,MU,72.25,few clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
145,Cidreira,BR,66.76,clear sky,-30.1811,-50.2056,Hotel Castelo
146,Garzon,CO,76.5,broken clouds,2.1959,-75.6278,Hotel Encanto Real
148,Mattru,SL,75.76,overcast clouds,7.6244,-11.8332,"Mondkor Town, Bagbo Chiefdom, Bo District"
150,Natal,BR,80.82,clear sky,-5.795,-35.2094,Villa Park Hotel | Natal
152,Tombouctou,ML,82.04,clear sky,20.0,-3.0,
153,Cuauhtemoc,MX,84.33,clear sky,28.4167,-106.8667,Motel Tarahumara Inn
154,Takoradi,GH,80.8,overcast clouds,4.8845,-1.7554,Raybow International Hotel
155,West Bay,KY,87.08,scattered clouds,19.3667,-81.4167,Calypso Cove
158,Cotonou,BJ,84.18,scattered clouds,6.3654,2.4183,Novotel Cotonou Orisha
159,Saquarema,BR,73.44,scattered clouds,-22.92,-42.5103,Hotel Fazenda Sol e Lua
161,Komsomolskiy,UZ,70.52,clear sky,40.4272,71.7189,Ikathouse
163,Chabahar,IR,82.22,clear sky,25.2919,60.643,هتل گدروشیا
168,Ottumwa,US,70.34,overcast clouds,41.02,-92.4113,Hampton Inn Ottumwa
169,Bandarbeyla,SO,82.47,light rain,9.4942,50.8122,JABIR HOTEL
170,Tura,IN,70.68,clear sky,25.5198,90.2201,Hotel RIKMAN Continental
172,Rapar,IN,81.32,clear sky,23.5667,70.6333,Dharamshi Bapa’s Home
173,Panzhihua,CN,67.28,scattered clouds,26.5851,101.7128,Electric Power Hotel
176,Umm Kaddadah,SD,82.72,broken clouds,13.6017,26.6876,
177,Bambous Virieux,MU,72.21,few clouds,-20.3428,57.7575,Casa Tia Villa
178,Touros,BR,79.14,overcast clouds,-5.1989,-35.4608,INN NEW HORIZON
182,Vanimo,PG,80.69,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
184,Richards Bay,ZA,65.3,light rain,-28.783,32.0377,BON Hotel Waterfront Richards Bay
185,Conde,BR,76.46,few clouds,-7.2597,-34.9075,Pousada Beija Flor
186,Placido De Castro,BR,80.71,broken clouds,-10.3353,-67.1856,Hotel Carioca
189,El Chol,GT,81.5,scattered clouds,14.9642,-90.4806,Hotel Meddany en El Chol Baja Verapaz
191,Cam Ranh,VN,78.76,scattered clouds,11.9214,109.1591,OYO 598 Peony Hotel
195,Phan Thiet,VN,78.28,overcast clouds,10.9333,108.1,Hotel Saigon-PT
199,Alexandria,EG,68.79,clear sky,31.2156,29.9553,Royal Crown Hotel
201,Acarau,BR,78.42,overcast clouds,-2.8856,-40.12,castelo pizzaria
203,Vero Beach,US,85.03,clear sky,27.6386,-80.3973,Kimpton Vero Beach Hotel & Spa
204,Naze,JP,70.72,overcast clouds,28.3667,129.4833,Shishime Hotel
205,Road Town,VG,80.69,broken clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
206,Quatre Cocos,MU,72.09,scattered clouds,-20.2078,57.7625,Sunrise Attitude Hotel
207,Edd,ER,83.53,overcast clouds,13.9297,41.6925,
208,Tezu,IN,72.41,clear sky,27.9167,96.1667,Circuit House
211,Marawi,PH,70.45,overcast clouds,7.9986,124.2928,Derogongan Residence
213,Taoudenni,ML,86.32,scattered clouds,22.6783,-3.9836,
214,Wanning,CN,76.44,overcast clouds,18.8003,110.3967,Paradise Hotel
216,Ismailia,EG,68.07,few clouds,30.6043,32.2723,Mercure Ismailia Forsan Island Hotel
218,Ippy,CF,75.15,broken clouds,6.2679,21.2247,
220,Grand Gaube,MU,72.37,clear sky,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
222,Victoria,HK,77.38,overcast clouds,22.2855,114.1577,Mini Central
223,Kismayo,SO,79.88,light rain,-0.3582,42.5454,Agan-Hotel
225,Samarai,PG,83.05,broken clouds,-10.6167,150.6667,Nuli Sapi
226,Saint-Louis,SN,82.04,few clouds,16.3333,-15.0,
227,Labuhan,ID,78.67,overcast clouds,-6.8844,112.2051,DoubleFAG
229,Cabo San Lucas,MX,91.71,scattered clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
230,Buala,SB,83.12,moderate rain,-8.145,159.5921,Maringe Lagoon Lodge
231,Kashi,CN,70.81,few clouds,39.4547,75.9797,帕米尔青年旅舍
233,Arlit,NE,93.13,overcast clouds,18.7369,7.3853,Case de Passage De la Prefecture
238,Popondetta,PG,81.9,overcast clouds,-8.7537,148.2534,Timos Transit House
241,Iralaya,HN,84.29,broken clouds,15.0,-83.2333,Iglesia morava renovada
