City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Avinurme,EE,58.9822,26.8642,34.83,83,16,5.97,few clouds
1,Punta Arenas,CL,-53.15,-70.9167,42.91,75,40,23.02,light rain
2,New Norfolk,AU,-42.7826,147.0587,42.71,86,36,1.01,scattered clouds
3,Rikitea,PF,-23.1203,-134.9692,76.37,77,78,19.69,broken clouds
4,Hobart,AU,-42.8794,147.3294,42.66,88,0,4.61,clear sky
5,Tasiilaq,GL,65.6145,-37.6368,37.56,69,99,3.24,overcast clouds
6,Kimbe,PG,-5.5502,150.1429,80.78,83,99,1.99,overcast clouds
7,Hilo,US,19.7297,-155.09,92.28,76,75,11.5,light rain
8,Hithadhoo,MV,-0.6,73.0833,81.97,82,100,22.39,moderate rain
9,Atuona,PF,-9.8,-139.0333,78.6,75,1,15.14,clear sky
10,Bluff,NZ,-46.6,168.3333,50.81,89,100,2.84,overcast clouds
11,Aykhal,RU,66.0,111.5,8.69,97,98,9.22,overcast clouds
12,Santa Fe,AR,-31.6333,-60.7,70.0,62,71,6.02,light rain
13,Port Hawkesbury,CA,45.6169,-61.3485,48.58,67,10,10.0,clear sky
14,Vila Velha,BR,-20.3297,-40.2925,75.15,78,40,12.66,scattered clouds
15,Maputo,MZ,-25.9653,32.5892,67.23,82,75,5.75,broken clouds
16,Torbay,CA,47.6666,-52.7314,45.28,77,2,3.0,clear sky
17,Mataura,NZ,-46.1927,168.8643,51.48,93,99,0.31,moderate rain
18,Vila Franca Do Campo,PT,37.7167,-25.4333,64.2,84,81,2.51,broken clouds
19,Haines Junction,CA,60.7522,-137.5108,49.95,34,11,5.75,few clouds
20,Sur,OM,22.5667,59.5289,87.93,37,0,10.96,clear sky
21,Chuy,UY,-33.6971,-53.4616,59.22,78,3,4.09,clear sky
22,Belmonte,BR,-15.8631,-38.8828,75.24,85,95,9.1,light rain
23,Ribeira Grande,PT,38.5167,-28.7,62.94,79,27,5.84,scattered clouds
24,Saldanha,ZA,-33.0117,17.9442,57.27,88,100,7.65,overcast clouds
25,Nikolskoye,RU,59.7035,30.7861,40.8,87,49,5.53,scattered clouds
26,Nueve De Julio,AR,-35.4444,-60.8831,65.34,66,92,2.89,overcast clouds
27,Mareeba,AU,-17.0,145.4333,72.45,93,29,7.47,scattered clouds
28,Barrow,US,71.2906,-156.7887,30.22,86,100,11.5,overcast clouds
29,Kaitangata,NZ,-46.2817,169.8464,52.68,91,89,2.28,overcast clouds
30,Avarua,CK,-21.2078,-159.775,87.85,74,40,6.91,scattered clouds
31,Bonavista,CA,48.6499,-53.1147,33.44,71,3,6.58,clear sky
32,Albany,US,42.6001,-73.9662,63.88,30,100,7.0,overcast clouds
33,Chara,RU,56.9064,118.2631,34.97,97,100,4.79,snow
34,Yellowknife,CA,62.456,-114.3525,25.32,86,100,28.77,overcast clouds
35,Luderitz,NA,-26.6481,15.1594,60.98,42,60,9.08,broken clouds
36,Hermanus,ZA,-34.4187,19.2345,58.17,76,98,3.29,overcast clouds
37,Bethel,US,41.3712,-73.414,57.63,40,100,14.97,overcast clouds
38,Fortuna,US,40.5982,-124.1573,50.99,84,75,10.36,broken clouds
39,Hofn,IS,64.2539,-15.2082,46.33,99,100,7.9,light rain
40,Benalla,AU,-36.55,145.9833,40.86,82,1,3.87,clear sky
41,Busselton,AU,-33.65,115.3333,55.42,83,1,3.0,clear sky
42,Tres Arroyos,AR,-38.3739,-60.2798,63.88,66,5,7.05,clear sky
43,Jacareacanga,BR,-6.2222,-57.7528,77.67,87,26,2.26,scattered clouds
44,Geraldton,AU,-28.7667,114.6,52.21,93,40,10.36,scattered clouds
45,Carnarvon,AU,-24.8667,113.6333,60.87,94,0,8.05,clear sky
46,Omboue,GA,-1.5746,9.2618,77.95,91,39,5.77,scattered clouds
47,Hasaki,JP,35.7333,140.8333,61.29,54,100,11.72,light rain
48,Henties Bay,NA,-22.116,14.2845,60.26,67,0,5.93,clear sky
49,Pevek,RU,69.7008,170.3133,22.73,85,100,11.18,overcast clouds
50,Ahipara,NZ,-35.1667,173.1667,65.73,75,98,10.4,overcast clouds
51,Bredasdorp,ZA,-34.5322,20.0403,54.81,85,100,3.91,overcast clouds
52,Maldonado,UY,-34.6667,-54.9167,58.39,79,4,5.82,clear sky
53,Butaritari,KI,3.0707,172.7902,81.82,79,13,18.32,few clouds
54,Dudinka,RU,69.4058,86.1778,11.62,89,84,13.67,broken clouds
55,Puerto Ayora,EC,-0.7393,-90.3518,78.76,79,51,9.44,broken clouds
56,Ancud,CL,-41.8697,-73.8203,51.51,87,49,3.89,scattered clouds
57,Coxim,BR,-18.5067,-54.76,74.37,40,0,4.63,clear sky
58,Scarborough,GB,54.2797,-0.4044,48.33,85,22,13.0,few clouds
59,Skjervoy,NO,70.0311,20.9714,35.6,68,100,27.0,overcast clouds
60,Livingston,GB,55.9029,-3.5226,53.58,79,0,4.61,clear sky
61,Kapaa,US,22.0752,-159.319,80.58,79,75,12.66,broken clouds
62,Arraial Do Cabo,BR,-22.9661,-42.0278,73.26,68,40,3.44,scattered clouds
63,Bonfim,BR,3.0833,-59.95,76.24,90,100,5.7,overcast clouds
64,Shangrao,CN,28.4532,117.9686,68.31,98,100,2.62,moderate rain
65,Port Blair,IN,11.6667,92.75,77.04,94,100,13.8,thunderstorm with rain
66,Pauini,BR,-7.7136,-66.9764,76.39,94,37,1.7,scattered clouds
67,Bengkulu,ID,-3.8004,102.2655,77.0,82,90,3.74,overcast clouds
68,Lebu,CL,-37.6167,-73.65,55.69,97,100,3.4,overcast clouds
69,Evensk,RU,61.95,159.2333,31.08,92,95,3.96,overcast clouds
70,Coahuayana,MX,18.7333,-103.6833,86.38,51,12,7.02,few clouds
71,Jamestown,US,42.097,-79.2353,67.51,16,0,0.0,clear sky
72,Los Llanos De Aridane,ES,28.6585,-17.9182,62.35,77,0,11.5,clear sky
73,Mackay,AU,-21.15,149.2,72.68,84,100,14.34,overcast clouds
74,Dicabisagan,PH,17.0818,122.4157,78.78,83,38,2.51,scattered clouds
75,Dubbo,AU,-32.25,148.6167,46.53,87,0,10.36,clear sky
76,Sayyan,YE,15.1718,44.3244,67.23,33,10,3.74,clear sky
77,Saint-Philippe,RE,-21.3585,55.7679,71.19,85,33,7.99,scattered clouds
78,Ust-Shonosha,RU,61.1531,41.343,36.93,96,100,9.15,light rain
79,Avera,US,33.194,-82.5271,69.31,48,73,7.34,broken clouds
80,East London,ZA,-33.0153,27.9116,63.18,75,96,11.41,overcast clouds
81,Castro,BR,-24.7911,-50.0119,54.36,88,2,3.89,clear sky
82,Port Alfred,ZA,-33.5906,26.891,56.17,92,99,1.99,overcast clouds
83,Reconquista,AR,-29.15,-59.65,62.91,62,39,4.74,scattered clouds
84,Tuktoyaktuk,CA,69.4541,-133.0374,41.0,65,75,13.8,broken clouds
85,Dikson,RU,73.5069,80.5464,26.8,95,100,26.71,light snow
86,Kodiak,US,57.79,-152.4072,49.51,40,0,18.41,clear sky
87,Mao,ES,39.8885,4.2658,61.36,72,20,3.44,few clouds
88,Vostok,RU,46.4856,135.8833,40.6,71,83,4.79,broken clouds
89,Saskylakh,RU,71.9167,114.0833,9.57,94,95,13.67,overcast clouds
90,Hermosillo,MX,29.0667,-110.9667,97.68,19,0,14.97,clear sky
91,Ushuaia,AR,-54.8,-68.3,44.26,65,40,12.66,light intensity drizzle
92,Lorengau,PG,-2.0226,147.2712,84.65,71,59,16.75,broken clouds
93,Georgetown,MY,5.4112,100.3354,82.33,91,20,5.75,light rain
94,Saint Stephen,GB,50.3333,-4.9,52.21,71,57,10.36,broken clouds
95,Severo-Kurilsk,RU,50.6789,156.125,38.57,95,100,17.22,moderate rain
